RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
1813,18769397,Obiajulu,545,Belgium,Female,33,3,191150.31217807336,1,False,False,67925.66911103371,True,False,0,GOLD,488.0302781072139
-1495,18659339,Welch,621,Belgium,Female,29,3,168518.3316920887,1,True,False,47403.87584536942,True,False,3,SILVER,518.1031040302294
5362,18612046,Lettiere,606,Belgium,Male,47,6,103315.85339351378,1,True,False,51596.32786103302,True,False,5,DIAMOND,498.3318377879032
3335,18630130,Lamb,498,Belgium,Male,42,9,193641.8558814724,1,True,False,67739.25250480832,True,False,3,GOLD,556.5073515094479
5230,18724771,Ugochukwu,559,Belgium,Female,35,0,141728.93054501145,1,False,True,59264.50899798585,True,False,3,DIAMOND,492.6513349832673
6944,18675598,Ch'en,613,Belgium,Female,44,2,85744.50127722045,0,True,False,59816.129078014,True,True,3,PLATINUM,367.0655347362813
4566,18589169,Capon,568,Belgium,Female,32,5,72678.40857473387,0,True,True,54827.70603310957,True,True,5,DIAMOND,666.8635537168832
3462,18641013,Frederick,590,Belgium,Female,39,2,85221.38714976807,1,True,False,67489.19600174935,True,False,5,GOLD,527.0529447917821
4674,18603885,Anderson,535,Belgium,Female,32,0,120550.19899891388,1,True,True,89845.70203261699,True,False,0,SILVER,538.1958896204798
6722,18813140,Gill,717,Belgium,Male,38,1,111967.85408178334,1,False,True,92207.99519156809,True,False,4,GOLD,530.8431928295103
5096,18729298,Hussain,579,Belgium,Male,44,6,81437.37315558284,1,True,True,73987.719091603,True,False,2,PLATINUM,521.6108482753249
-1946,18809960,Phillipps,478,Belgium,Male,38,1,202759.49412907087,0,True,True,67823.1614096669,True,False,4,SILVER,415.641043333721
8539,18676302,Mishin,603,Belgium,Female,42,5,74502.87550136221,1,True,False,69835.67468110689,True,False,5,DIAMOND,582.7826986241918
2129,18793167,Matthews,570,Belgium,Male,43,0,139863.12657116528,2,False,True,75582.16992757967,True,False,1,DIAMOND,444.9576346559864
7453,18683679,Allen,577,Belgium,Female,38,1,148793.81787516212,1,True,True,96121.6357034708,True,False,3,SILVER,467.3174988551231
297,18690137,Martin,510,Belgium,Female,36,2,226644.7423825841,1,True,True,70527.71646675002,True,False,3,DIAMOND,289.5010764703065
4280,18711970,Lambert,481,Belgium,Female,36,11,156663.63845862783,1,False,False,84585.30983021922,True,True,1,DIAMOND,296.99741037460075
4715,18655766,Pai,556,Belgium,Male,37,8,88433.16440000551,2,True,False,69929.9681583204,True,True,2,SILVER,498.31848652688205
8179,18734447,Davide,577,Belgium,Male,33,9,151019.74907294216,1,False,True,66501.43211929043,True,True,3,SILVER,267.0003268144974
1984,18782364,Fanucci,565,Belgium,Male,26,1,128974.143814137,2,True,False,75437.794782892,True,False,5,PLATINUM,412.3885131041324
9758,18654087,Jen,620,Belgium,Female,40,3,35993.460017224,1,False,False,64057.35017420832,True,False,1,DIAMOND,554.7968425386813
5590,18608000,Fan,560,Belgium,Male,41,5,112847.61669157128,1,True,False,67989.5430008974,True,False,4,DIAMOND,360.9397476908015
4803,18689085,Nucci,635,Belgium,Female,36,8,72406.11100244924,0,True,False,71778.18824813819,True,True,1,DIAMOND,407.96341699534776
4433,18816997,Sal,602,Belgium,Male,32,-1,143501.30022726403,1,True,True,84381.61048882715,True,False,3,DIAMOND,335.9001835776389
5571,18511901,Munro,575,Belgium,Female,35,4,163390.8718373865,1,False,False,81225.94953980674,True,False,0,PLATINUM,513.1451302176192
2934,18673214,Manfrin,597,Belgium,Male,37,1,140363.22901632867,1,True,True,74331.29320905346,True,False,5,SILVER,431.3392394190045
3543,18623134,Lord,637,Belgium,Male,38,3,184644.8254220252,2,True,False,59604.29850189095,True,False,4,GOLD,354.4754488145029
5952,18730196,Parker,538,Belgium,Female,39,0,111272.67436788458,0,True,True,83496.81091120881,True,True,1,PLATINUM,552.8779782233124
8021,18668322,Payne,473,Belgium,Male,37,5,82154.80219405235,1,False,True,87844.3677378243,True,False,4,DIAMOND,399.344811544276
7539,18560049,Banks,630,Belgium,Male,27,3,76340.51125528319,3,True,True,91293.95981601995,True,True,4,DIAMOND,477.7174696915849
9702,18734313,Cattaneo,552,Belgium,Female,38,1,99918.47280698674,0,True,True,67690.33644135924,True,False,1,GOLD,601.3242907606187
8842,18602183,Rizzo,557,Belgium,Male,42,8,201302.7706080935,1,False,False,82305.10362843004,True,False,3,DIAMOND,478.51842378580886
7219,18727858,Mullen,596,Belgium,Male,36,3,82700.04767691606,1,True,False,65715.6826918354,True,False,3,DIAMOND,619.2502252494883
5936,18666184,Wilson,593,Belgium,Male,26,2,148274.05782410305,1,True,False,63300.30376367304,True,False,4,GOLD,596.4323849550186
6557,18794148,McCollum,508,Belgium,Male,38,0,114880.062694908,2,False,False,63127.05789485755,True,True,5,PLATINUM,350.3376437664687
-1124,18612091,Dobie,589,Belgium,Male,39,4,90307.45194130376,0,False,False,58917.739331625446,True,True,1,PLATINUM,401.3050752609258
4164,18797769,Moore,645,Belgium,Male,37,2,230773.4947084868,1,True,True,85299.45736595402,True,False,3,PLATINUM,372.84895314283045
4943,18725296,Iheatu,670,Belgium,Female,40,8,83661.57449521263,1,True,True,47971.20825066948,True,False,3,SILVER,527.8121467614499
240,18715002,Chia,547,Belgium,Male,36,11,108598.35557307008,2,False,True,48672.34772955578,True,False,2,PLATINUM,486.4771827323241
1793,18712206,Pharr,601,Belgium,Male,38,3,216989.02662806137,1,True,True,64142.84833060302,True,False,3,SILVER,407.829035457718
4217,18791055,Clark,680,Belgium,Female,39,8,81016.0047118499,0,False,False,84180.58963518773,True,False,2,PLATINUM,414.2411288195438
6655,18561356,Lombardo,740,Belgium,Female,32,0,146952.41292730457,1,True,True,39404.53057890935,True,False,2,PLATINUM,548.0417494066422
4997,18754034,Fanucci,567,Belgium,Female,32,3,117101.657236962,1,True,False,59175.60050464316,True,True,1,GOLD,394.0743088526952
1814,18702895,Pickering,657,Belgium,Male,36,2,176852.36608746852,2,True,False,52641.3608724094,True,False,3,GOLD,431.4108763256195
1070,18661664,Johnson,589,Belgium,Male,43,6,95157.46577167028,1,True,False,64589.47395073029,True,False,4,PLATINUM,561.0075729684107
8448,18721925,Miller,590,Belgium,Male,40,2,108808.04050898815,2,True,True,63930.77093179153,True,True,2,PLATINUM,442.91929234116594
1820,18793267,Martin,626,Belgium,Male,40,4,24524.13661360024,1,True,True,98563.8448912008,True,False,2,DIAMOND,621.0217100678877
10767,18648357,Lombardo,512,Belgium,Female,38,1,104742.613251298,1,True,True,71545.89299712348,True,False,4,SILVER,351.07790510630866
3158,18757244,Hayward,584,Belgium,Male,38,2,125501.71983937507,1,True,True,93665.91854864704,True,False,2,DIAMOND,355.1404413637081
11325,18690392,Lung,586,Belgium,Female,37,1,159445.89113443496,2,True,True,68314.11438858657,True,False,4,SILVER,508.6140607557964
7502,18704403,Wilson,582,Belgium,Male,35,7,94588.07950130496,1,True,True,79999.92605116668,True,False,1,GOLD,384.28905535394136
6869,18627924,Onwumelu,573,Belgium,Male,34,4,247219.8520924197,1,True,True,62432.09848284524,True,False,4,GOLD,378.686491474982
7320,18691138,Chidumaga,589,Belgium,Female,42,0,119174.91251956303,1,True,True,65153.89961868408,True,False,4,DIAMOND,564.5040797168444
3760,18672607,Hill,593,Belgium,Male,39,6,144194.004066207,1,True,False,50249.9143341254,True,False,4,GOLD,447.15977084658965
9069,18636016,Tretiakova,584,Belgium,Female,41,6,74902.78146314024,0,True,False,104292.60543771464,True,True,3,SILVER,628.6498733859529
7484,18517794,Tu,601,Belgium,Male,30,7,182332.28378945167,1,False,False,83575.3136970609,True,False,1,GOLD,441.7280416629718
2796,18779759,Brenan,620,Belgium,Male,36,7,228409.1496046953,0,True,False,64391.46531499968,True,True,2,SILVER,524.762627442493
9120,18741493,Dickson,686,Belgium,Female,36,6,131362.45538510854,1,True,False,53333.28576284668,True,False,2,GOLD,398.5483045463757
6835,18778570,Cunningham,599,Belgium,Male,37,8,49343.61307552528,2,True,False,86391.2481598354,True,False,3,PLATINUM,271.1666068218257
7669,18579507,Sims,499,Belgium,Female,38,5,121506.56377963952,0,True,True,43945.665744360645,True,True,2,SILVER,216.65459866866823
-172,18780735,Udobata,566,Belgium,Male,40,11,87892.70033832864,1,False,False,90278.69129091637,True,False,3,PLATINUM,449.5637342654321
4953,18555603,Goddard,594,Belgium,Female,31,0,106772.1561512531,1,False,False,56554.89502443198,True,True,1,SILVER,501.6457968520341
7849,18718881,Azikiwe,582,Belgium,Female,38,3,82094.88469009861,0,True,True,76764.1703378199,True,False,2,DIAMOND,485.6801914166761
6897,18683191,Dale,543,Belgium,Male,30,10,73638.8062684121,0,True,True,50032.0300883761,True,False,3,SILVER,341.4343234173461
5243,18787631,Olisaemeka,633,Belgium,Female,40,3,158317.92607808553,2,True,False,102515.55612641644,True,False,3,GOLD,349.7457516968099
4537,18567839,Harris,568,Belgium,Female,32,0,137459.4946712859,0,True,True,79634.72436093568,True,False,3,DIAMOND,363.106881258172
8507,18612001,Chia,576,Belgium,Male,45,3,174122.49343828185,2,True,False,55984.59224278159,True,False,0,PLATINUM,322.92581262072054
3587,18588176,Marino,516,Belgium,Male,36,2,124127.5809449189,1,True,False,30551.278952953297,True,False,6,SILVER,438.0163535935114
7650,18570087,Artemiev,615,Belgium,Male,35,1,150213.54887782456,1,True,False,74864.55499962991,True,True,4,DIAMOND,418.3273105597496
4178,18657162,Pharr,552,Belgium,Male,36,5,233145.48498531524,1,True,True,77874.57277528601,True,False,4,SILVER,404.3390306861989
9168,18875070,Nnachetam,628,Belgium,Male,39,9,133086.13247137828,1,True,False,48933.70003115162,True,False,1,PLATINUM,410.5589098512364
1485,18736231,Samuel,620,Belgium,Female,30,1,118058.42704446128,0,False,True,79509.63462386679,True,False,0,GOLD,323.7254801104467
10276,18819514,Defalco,569,Belgium,Male,37,0,47734.23323945972,0,True,True,49758.66696074929,True,False,3,GOLD,557.991239830757
9385,18645185,Linger,578,Belgium,Male,44,6,155730.1899013027,2,True,True,101967.79984737556,True,False,4,GOLD,483.9702863213107
7936,18802039,Downer,654,Belgium,Female,34,3,76410.60572420404,0,False,False,77963.86030204443,True,True,1,DIAMOND,729.2871712729481
5851,18601578,Hs?,560,Belgium,Female,25,10,140919.47552179493,1,False,False,40603.41544892758,True,False,1,PLATINUM,645.3100778369096
-1973,18667997,Fiorentini,615,Belgium,Male,36,10,7093.898178506297,0,False,True,82582.43090331714,True,False,2,GOLD,612.4748257715032
5543,18711236,Peel,627,Belgium,Female,31,5,116556.48543130048,0,False,False,62701.50641100327,True,False,2,DIAMOND,494.02612231367885
581,18767966,Endrizzi,528,Belgium,Male,35,1,208984.21462973324,1,False,False,74957.89311554977,True,False,2,DIAMOND,672.0699483096018
3052,18782144,Kerr,577,Belgium,Male,35,5,104165.21517086502,1,True,True,59864.30425655408,True,False,4,PLATINUM,410.4601956281893
1427,18792535,Stewart,583,Belgium,Male,35,2,105180.48944029996,0,True,True,74508.68630198402,True,False,1,GOLD,506.6131611536011
8670,18818065,Kharlamov,671,Belgium,Male,40,0,127061.44421871596,1,True,False,98469.54564815947,True,True,1,SILVER,250.09388171340848
4384,18626815,Avdeev,605,Belgium,Male,32,6,112808.23528166456,1,False,True,72158.03490919863,True,False,3,PLATINUM,459.1801585753432
2137,18586037,Genovesi,503,Belgium,Male,28,5,69748.91554611236,0,True,True,58173.69442568442,True,False,5,DIAMOND,518.7389701406221
8180,18555597,Nnaemeka,565,Belgium,Male,42,4,165166.3478220133,2,True,True,59403.33847157214,True,False,0,DIAMOND,254.0751759414785
1147,18751189,Pirozzi,577,Belgium,Female,42,5,189554.8673346605,1,True,False,61682.671081685774,True,True,2,PLATINUM,509.2364371504478
5976,18759842,Cantamessa,563,Belgium,Female,32,6,142619.38574527908,1,True,False,104106.3058551959,True,False,1,SILVER,283.16556459019347
7408,18788959,McCollum,581,Belgium,Male,32,3,92129.21382812216,1,False,False,53111.325341363896,True,True,5,PLATINUM,370.33896606925504
6349,18616293,Mamelu,524,Belgium,Male,36,-1,119971.71864279977,1,True,True,65534.2990965994,True,False,0,SILVER,241.00866074234844
9294,18769724,Avdeyeva,547,Belgium,Female,50,3,235862.1913718953,0,True,False,59046.23793766909,True,False,0,GOLD,621.3142437254081
704,18578152,Kuo,576,Belgium,Male,36,8,94330.01144684812,1,True,True,63084.79287283472,True,False,5,GOLD,608.0166363281696
2054,18611205,McIntosh,550,Belgium,Male,29,2,153820.90028668637,1,True,False,70377.19120496608,True,False,5,DIAMOND,639.7594032537812
2865,18671128,Onyekaozulu,519,Belgium,Female,36,5,164229.92345664793,1,False,True,83103.24229107973,True,True,1,DIAMOND,492.2639353386131
-1048,18745526,Hsia,560,Belgium,Male,39,1,170173.49342865142,1,True,True,72824.34819887058,True,False,1,SILVER,503.80922950532783
3671,18725470,Onyemachukwu,562,Belgium,Male,39,5,35500.7823483638,2,True,False,80495.68569370372,True,False,1,PLATINUM,692.4203811124797
4186,18683585,Wu,502,Belgium,Female,35,0,108067.37594238328,1,False,True,52881.38378450285,True,False,5,SILVER,531.9719117038622
7689,18716673,Walton,576,Belgium,Male,33,2,101506.53953084038,3,True,False,57723.16102585675,True,True,1,DIAMOND,635.5677684778553
9460,18700522,Yao,554,Belgium,Male,38,8,103207.76295920945,2,True,True,75529.43338883144,True,False,1,GOLD,490.4357196013042
2788,18846070,Mazzi,663,Belgium,Female,46,0,86216.06711126797,1,True,True,65159.960941065954,True,False,0,PLATINUM,659.7035678090909
9800,18695385,Trevisani,480,Belgium,Male,41,7,93970.81107526032,0,False,True,74215.11961980346,True,False,4,GOLD,502.8296849598929
9151,18766654,Allan,618,Belgium,Male,40,6,148583.34506079316,2,False,True,76918.5211088394,True,False,4,DIAMOND,490.5178767926458
