RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
5010,16750682,Sargent,803.77752300225,Portugal,Female,62,1,107012.0255845273,2,True,False,41447.26552149884,True,True,3,GOLD,985.1507480693577
2304,16715280,Pearson,687.9965866154915,Portugal,Male,30,0,-1118.0053988896484,2,False,True,193066.2570895782,False,False,1,SILVER,296.6002262868214
6996,16717183,Watkins,807.875884686755,Portugal,Female,33,9,134214.7825858322,1,True,True,85341.00903696372,False,False,3,SILVER,442.5619320579484
9069,16705756,Lu,484.77354584564114,Portugal,Female,27,4,-3179.2678735022555,1,True,True,32892.20412848851,False,False,1,PLATINUM,593.2613734782826
2591,16610233,Lombardo,791.8763055365253,Portugal,Female,33,1,89903.2394112212,1,False,True,102055.56779640497,False,False,2,PLATINUM,321.1020966400194
3616,16676344,Brown,798.0791426610921,Portugal,Male,18,7,139361.80598424678,0,True,False,32481.26735051051,False,False,4,DIAMOND,363.1663609846378
6934,16570500,Hanson,699.7058884984503,Portugal,Female,24,1,-228.8143670769062,1,True,False,37900.71111906947,True,True,3,PLATINUM,439.51741295989194
9206,16579585,Ricci,836.5616938188291,Portugal,Male,24,6,1460.0352403701295,1,True,True,75947.95868586013,False,False,2,SILVER,333.87188270169946
2648,16654452,Sinnett,579.7793582633403,Portugal,Male,31,5,127027.06095588305,1,True,False,122731.62260680688,False,False,0,PLATINUM,590.868941636606
3014,16755959,Woronoff,657.3551837601098,Portugal,Female,43,9,111533.36245814286,1,True,True,148431.22552990014,True,True,2,PLATINUM,531.8252335889536
159,16666314,Tan,604.5855465693221,Portugal,Male,36,8,159615.83816588743,1,True,True,74623.53110679322,False,False,5,GOLD,852.8533586300911
6529,16727651,Millar,679.3974203075298,Portugal,Female,41,8,81030.3730134119,1,False,False,186126.9425956666,True,True,3,PLATINUM,796.3378130136309
4206,16587600,Langlands,646.8160605563903,Portugal,Male,41,8,116734.52389228246,0,True,True,159588.4273562699,False,False,3,DIAMOND,766.7453172303009
6820,16717456,Nekrasova,769.8058194060416,Portugal,Male,39,2,-1362.284498631903,1,False,False,89496.74973855208,False,False,1,DIAMOND,917.1867877716708
1735,16809044,Gray,584.4297729830569,Portugal,Female,38,1,120646.66595166914,2,True,False,89650.37331146082,False,False,1,SILVER,669.7253345083363
7055,16635882,Ignatyeva,531.2435617113167,Portugal,Female,44,0,-3049.2304973500245,2,False,False,5602.345322932215,False,False,4,DIAMOND,832.0460381768771
10170,16563653,Aldridge,571.1689408988166,Portugal,Male,44,9,-856.7001878518421,2,True,False,108048.94311571942,False,False,2,PLATINUM,775.2273350307081
7759,16586812,Akhtar,703.7343825949694,Portugal,Female,59,1,150328.96391190647,1,False,False,99179.3389747084,True,True,3,DIAMOND,301.7298207796245
9566,16726974,Onwughara,731.77511640877,Portugal,Female,52,0,135028.40484043886,2,True,True,-1277.6024684979038,False,False,2,DIAMOND,312.2585807124543
2865,16618826,Tien,763.9225740642219,Portugal,Female,39,5,81780.90600766013,0,False,True,114801.73167350955,False,False,4,DIAMOND,245.56328523796793
4526,16679157,Cantrell,764.6473643935627,Portugal,Male,23,1,136477.31772151083,1,False,True,37931.26440306823,False,False,3,DIAMOND,343.2517212130858
4941,16694261,King,748.3364523699391,Portugal,Female,34,6,-5059.127759738648,1,True,False,189711.81033259688,False,False,0,PLATINUM,735.9763601369652
4457,16762526,Lupton,607.5670420432574,Portugal,Male,34,6,144295.50467356853,2,True,False,42555.31906451643,False,False,2,DIAMOND,736.7547337532824
3330,16703465,Anenechukwu,779.8791503322467,Portugal,Female,31,1,101232.73535177247,2,True,True,155928.55979186465,False,False,3,PLATINUM,249.827900700082
8891,16785336,Gallo,452.1329463266662,Portugal,Female,21,7,-3010.734087228871,2,False,False,179308.2902866915,False,False,2,GOLD,772.6730803375998
9580,16581381,Mironova,737.5299721267804,Portugal,Male,43,5,100285.01801032625,1,True,False,189990.12645820228,True,True,3,DIAMOND,871.3092663666071
5380,16632369,Lee,805.7071733445825,Portugal,Female,31,1,142955.6746543802,3,True,True,205339.31370293134,False,False,4,DIAMOND,347.2298735070445
5433,16585677,Bergamaschi,453.145456048961,Portugal,Female,34,5,78721.3857894474,2,True,True,102035.7400434331,False,False,1,SILVER,347.7958382306007
1137,16723320,Spitzer,693.4680348673854,Portugal,Female,20,5,99192.43188211539,0,True,True,169554.79700863268,False,False,2,SILVER,204.45087877085015
254,16629343,Wei,669.7612096884556,Portugal,Male,30,1,615.0828661185158,2,True,False,73663.7423433251,False,False,4,DIAMOND,685.0153111621269
8342,16576794,Townsley,624.2515853450161,Portugal,Male,59,2,126016.73734903146,1,True,False,152397.58186831625,True,True,4,PLATINUM,658.292067527338
5853,16805909,Chu,603.563328641985,Portugal,Female,41,7,-236.6678907590446,2,True,True,73547.11211572823,True,True,2,GOLD,999.8413366778606
5969,16640606,Mai,706.1845620059672,Portugal,Male,43,3,-285.4168648444441,1,True,True,134873.12328375244,False,False,2,DIAMOND,705.4563497365066
7123,16737998,Monaldo,736.6780863371008,Portugal,Female,35,4,129292.32926235354,1,True,False,118691.93393653091,False,False,3,DIAMOND,616.4996703546317
5435,16735410,Zikoranachidimma,797.4248111201377,Portugal,Female,57,8,89336.71908131673,1,True,False,16620.53933238319,True,True,0,PLATINUM,364.8777552205088
2992,16577143,Aksenov,531.2145892801391,Portugal,Female,40,4,5317.196288043687,2,False,True,176757.89737047793,False,False,4,DIAMOND,700.5995562501565
